soil_j_molkg,feedstock_j_molkg,wf_j_molkg,soil_i_molkg,feedstock_i_molkg,wf_i_molkg,rho_soil_tm3,rho_feedstock_tm3,rho_wf_tm3,v_sampled_layer_m3ha,post_weathering_mix_j_molkg,post_weathering_mix_i_molkg,tau_SOMBA,X_s,X_f,X_wf,tau_SOMBA_meta,application_amount_output_tha,pre_weathering_mix_i_molkg,pre_weathering_mix_j_molkg
0.486183469,3.766915243,0.570738646,0.050207907,0.239079973,0.350041134,1.468068875,1.841123805,1.544460218,1000,0.594202429,0.060531622,0.3374968767957692,0.9605157452323984,0.02615844210092754,0.01332581266667397,0.3374968767957692,72.6954013753159,0.05946751244470684,0.6470239915850239
0.508912467,3.938079288,0.525401566,0.046254608,0.251728709,0.409493999,1.376612976,1.986424439,1.612315078,1000,0.878577744,0.083142591,0.31778584694855794,0.8862586622903945,0.07759595037249654,0.03614538733710893,0.31778584694855794,225.93857295091263,0.07836067163836039,1.0447320551902408
0.494585226,4.223939019,0.551926402,0.051076944,0.251267175,0.340858638,1.470859395,1.6963144,1.625574796,1000,0.773532342,0.071085444,0.19735499213352217,0.9185453155298056,0.06537919585734064,0.016075488612853742,0.19735499213352217,138.17275421424708,0.06965093959621067,0.8406011158957141
0.525395672,3.907903118,0.612071481,0.052478191,0.242542865,0.351666736,1.420773003,1.752593327,1.495303614,1000,0.643998807,0.071190446,0.5851514142383498,0.9329622230300594,0.027810526968584808,0.03922725000135586,0.5851514142383498,117.48996057443229,0.06795318770433373,0.8007981993483188
0.499615085,3.824243795,0.5964731,0.045365434,0.23642688,0.34570922,1.487247782,1.889318294,1.62343389,1000,0.719367694,0.072751494,0.47404995437931396,0.9014847711289075,0.05181408911908344,0.04670113975200908,0.47404995437931396,186.12662414375205,0.06865615614291527,0.9048930996601048
0.483918729,3.604738388,0.579573574,0.049933367,0.256733476,0.371247007,1.406114309,1.759816108,1.482243524,1000,0.796657282,0.077103853,0.19616027248448054,0.8988849269238894,0.08128031278921259,0.01983476028689802,0.19616027248448054,177.9439343609366,0.07545480657404757,0.8690626766207832
0.478700158,4.388714655,0.498472583,0.047030523,0.26888884,0.391161729,1.495136079,1.913515568,1.547855796,1000,0.582294031,0.062409278,0.5650790764326598,0.9523334059914925,0.020731199089489505,0.026935394919017936,0.5650790764326598,91.21076970881451,0.06038683674631647,0.7140908392273247
0.489336041,3.867758672,0.543312562,0.050047673,0.252253904,0.355020099,1.558937653,1.884739895,1.618519089,1000,0.543715905,0.058993051,0.5816602976477753,0.9686631415931313,0.013109452018583252,0.018227406388285426,0.5816602976477753,59.06182722339154,0.05765860263930483,0.6164979825940554
0.504658581,3.824084332,0.575744586,0.049421255,0.225879289,0.336990822,1.33852273,1.704088955,1.357705146,1000,0.58168222,0.061062092,0.595883064056545,0.9557743426761461,0.017872337127801067,0.026353320196052857,0.595883064056545,75.36445417319433,0.059238011657209405,0.6893256890968841
0.537198431,3.982602351,0.611823591,0.053020223,0.229371401,0.350764477,1.451825687,1.884597442,1.58753542,1000,0.567169978,0.066938955,0.8653024495105214,0.9552267907771288,0.00603084160987369,0.038742367612997555,0.8653024495105214,84.37947557155395,0.063134685332258,0.7348064570051003
