soil_j_molkg,soil_i_molkg,feedstock_j_molkg,feedstock_i_molkg,rho_soil_tm3,rho_feedstock_tm3,d_mixed_layer_m,d_sample_m,v_sampled_layer_m3ha,a_assumed_tha,tau_assumed,v_feedstock_m3ha,v_soil_m3ha,m_soil_tha,rm,pre_weathering_mix_j_molkg,pre_weathering_mix_i_molkg,v_feedstock_end_m3ha,v_soil_end_m3ha,post_weathering_mix_j_molkg,post_weathering_mix_i_molkg,tau_SOMBA,Xs_soil_contribution,Xf_feed_contribution,Xwf_weath_feed_contribution,tau_SOMBA_meta,application_amount_output_tha,pre_weathering_mix_output_i_molkg,pre_weathering_mix_output_j_molkg,diss_feedstock_i_molkg
0.46177562316852633,0.054382475472585436,3.901091286601191,0.2503373536339853,1.3683989758226929,1.7925342653401117,0.2,0.1,1000.0,78.88927264902419,0.8623096083736581,44.00991053526997,1955.99008946473,2676.5748351428742,0.028630121664782782,0.5602436490561966,0.059992687475154,6.0597418170415915,1993.9402581829584,0.4754133890379669,0.061376136984546685,0.8623096083736589,0.977995044732365,0.0030298709085207747,0.018975084359114186,0.8623096083736589,39.44463632451206,0.059992687475153995,0.5602436490561966,0.3823118967977501
0.4916585466639042,0.04949542531607839,4.107066672415664,0.2494519205283534,1.413685009718836,1.8233490390193423,0.2,0.1,1000.0,156.73317138388902,0.6005287788917677,85.9589513745461,1914.0410486254539,2705.851138428326,0.054752333703027484,0.6896105788377017,0.06044351006802869,34.33812727077309,1965.6618727292268,0.5713232052574598,0.06216452943680056,0.6005287788917681,0.957020524312727,0.01716906363538653,0.02581041205188653,0.6005287788917681,78.36658569194452,0.06044351006802869,0.6896105788377017,0.37123465042631987
0.5236794768864517,0.05031011821417911,3.968135443744096,0.2485885030320495,1.4459814020819388,1.852991762582485,0.2,0.1,1000.0,160.26633931402785,0.42475459682297356,86.49058379550874,1913.5094162044913,2766.8990285403625,0.05475137861155516,0.7122681896387049,0.06116613313182996,49.75331074646382,1950.2466892535363,0.6327212707263162,0.0623978865415897,0.42475459682297373,0.9567547081022456,0.024876655373231915,0.018368636524522478,0.42475459682297373,80.13316965701397,0.06116613313182997,0.7122681896387049,0.3688705421088955
0.4839533047686861,0.053700946319548026,4.154278552118353,0.2477124881276553,1.440937398254098,1.9645311998741526,0.2,0.1,1000.0,147.22391553492434,0.5974875191614529,74.94099128807702,1925.059008711923,2773.8895194989714,0.05039993098837533,0.6689374439400009,0.06347911463762493,30.164684319863824,1969.8353156801363,0.5590141613051329,0.06518842643542569,0.5974875191614529,0.9625295043559615,0.015082342159931912,0.022388153484106596,0.5974875191614529,73.61195776746217,0.06347911463762494,0.668937443940001,0.39142478644949896
0.5130382808627046,0.053500848319876705,4.045025567624033,0.2561307538361844,1.3809421585575392,1.78465979562772,0.2,0.1,1000.0,108.76044662555226,0.7219137254524894,60.9418371456605,1939.0581628543396,2677.727164980688,0.039031376336483514,0.6508966058679613,0.061409772419109804,16.94708845591782,1983.0529115440822,0.5516207186535016,0.06297768782032727,0.7219137254524894,0.9695290814271698,0.008473544227958926,0.02199737434487137,0.7219137254524894,54.38022331277621,0.06140977241910982,0.6508966058679616,0.3845112791062959
0.466301521110279,0.04789931542776705,3.9998979828950922,0.26721087036673424,1.377457233221351,1.9176332964469271,0.2,0.1,1000.0,97.47101884763643,0.3355002228160137,50.82881019443858,1949.1711898055614,2684.8999541843377,0.03503164020627393,0.5900892009936871,0.05558215891346743,33.77573304873157,1966.2242669512684,0.5488316413116516,0.056172515751834726,0.3355002228160145,0.9745855949027806,0.01688786652436576,0.008526538572853525,0.3355002228160145,48.73550942381821,0.05558215891346743,0.5900892009936871,0.41989813312570334
0.5318308243361275,0.04954388530474418,4.073498189290011,0.2335595882918381,1.3189920725685411,1.7683386900361713,0.2,0.1,1000.0,181.56595622239044,0.6631838060919416,102.67600728606833,1897.3239927139316,2502.5553054837683,0.06764446853156636,0.7714050309540261,0.061991529734768715,34.58294197976961,1965.4170580202303,0.6134537496490763,0.0643832640137554,0.6631838060919416,0.9486619963569658,0.0172914709898848,0.03404653265314934,0.6631838060919416,90.78297811119518,0.061991529734768715,0.7714050309540259,0.3626712080498279
0.5080199419700948,0.05157059203335848,3.902609134285741,0.2595793437895998,1.3592221723537625,1.9010510739944113,0.2,0.1,1000.0,193.13801481293217,0.8366271978754749,101.59538449807054,1898.4046155019294,2580.3536454889418,0.06963713559243605,0.7444094098359975,0.06605572568382123,16.597922648368325,1983.4020773516315,0.5472916622163354,0.06935556607406469,0.8366271978754747,0.9492023077509647,0.008298961324184175,0.04249873092485111,0.8366271978754747,96.56900740646611,0.06605572568382123,0.7444094098359975,0.41462646349801824
0.5073635143907578,0.04999014479602142,4.246465286945623,0.23708522069497076,1.3139958562014684,1.7833341558644058,0.2,0.1,1000.0,160.29953181663467,0.457317675650798,89.88754647551477,1910.1124535244853,2509.8798488099937,0.06003324457513268,0.7318339255938562,0.06122206924626606,48.78038265137928,1951.219617348621,0.6300662174026753,0.06268624653450308,0.45731767565079845,0.9550562267622426,0.02439019132568963,0.02055358191206778,0.45731767565079845,80.14976590831739,0.06122206924626606,0.7318339255938563,0.37175841363838974
0.5076805040875167,0.050933251106738346,3.7999277630831667,0.26828359273287244,1.4799597859270635,1.924922433481464,0.2,0.1,1000.0,91.6910627406688,0.6434017831496422,47.63364026821278,1952.3663597317873,2889.423699799856,0.03075730726398775,0.6089411646214674,0.05761836234806606,16.986071181736072,1983.013928818264,0.5439558154363051,0.05866164939204136,0.6434017831496429,0.9761831798658936,0.008493035590868028,0.015323784543238376,0.6434017831496429,45.84553137033442,0.05761836234806607,0.6089411646214674,0.39987861509378503
